recid,location,event,eventType,xcoord,ycoord,dt,_date,_time,lon,lat
480,300 BLOCK OF SAN ANTONIO BOULEVARD,Nicole (9/30/2010),Flooded street,12136558.34,3500698.532,35:57.0,9/30/2010,35:00.0,-76.263946,36.91595
481,400 BLOCK OF SAN ANTONIO BOULEVARD,Nicole (9/30/2010),Flooded street,12137495.81,3500613.636,36:09.0,9/30/2010,36:00.0,-76.260747,36.915656
482,1100 BLOCK OF GEORGETOWN ROAD,Nicole (9/30/2010),Flooded street,12154904.07,3480753.896,36:28.0,9/30/2010,36:00.0,-76.202871,36.859976
483,E BRAMBLETON AVENUE & SAINT PAULS BOULEVARD,Nicole (9/30/2010),Flooded street,12130817,3477971.625,37:22.0,9/30/2010,37:00.0,-76.285403,36.853917
484,BOUSH STREET & W OLNEY ROAD,Nicole (9/30/2010),Flooded street,12129207,3478802.5,38:08.0,9/30/2010,38:00.0,-76.290838,36.856302
485,E BRAMBLETON AVENUE & I-264W HIGHWAY,Nicole (9/30/2010),Flooded street,12135922.5,3474922.625,39:10.0,9/30/2010,39:00.0,-76.268205,36.845214
486,BALDWIN AVENUE & STOCKLEY GARDENS,Nicole (9/30/2010),Flooded street,12128075.5,3482139,39:33.0,9/30/2010,39:00.0,-76.294438,36.865536
487,CHURCH STREET & GOFF STREET,Nicole (9/30/2010),Flooded street,12132948.5,3480008.625,00:26.0,9/30/2010,00:00.0,-76.277956,36.859372
488,CHURCH STREET & E PRINCESS ANNE ROAD,Nicole (9/30/2010),Flooded street,12132836.5,3479574.875,00:45.0,9/30/2010,00:00.0,-76.278374,36.858189
489,E PRINCESS ANNE ROAD & MONTICELLO AVENUE,Nicole (9/30/2010),Flooded street,12130363,3480389.25,01:50.0,9/30/2010,01:00.0,-76.286761,36.860584
490,DEBREE AVENUE & W PRINCESS ANNE ROAD,Nicole (9/30/2010),Flooded street,12128397,3481286.25,11:32.0,9/30/2010,11:00.0,-76.293407,36.863174
491,E PRINCESS ANNE ROAD & INGLESIDE ROAD,Nicole (9/30/2010),Flooded street,12142817.5,3481606.375,12:59.0,9/30/2010,12:00.0,-76.244103,36.863117
492,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12134008,3478239.25,14:08.0,9/30/2010,14:00.0,-76.274478,36.854445
493,GOSNOLD AVENUE & W 26TH STREET,Nicole (9/30/2010),Flooded street,12128252,3485195.75,17:22.0,9/30/2010,17:00.0,-76.29359,36.873918
494,MUNSON STREET & W 26TH STREET,Nicole (9/30/2010),Flooded street,12128490,3485115.5,17:39.0,9/30/2010,17:00.0,-76.292783,36.873682
495,NEWPORT AVENUE & W 26TH STREET,Nicole (9/30/2010),Flooded street,12128780,3485018.25,17:53.0,9/30/2010,17:00.0,-76.2918,36.873397
496,COLONIAL AVENUE & W 26TH STREET,Nicole (9/30/2010),Flooded street,12129269,3484853.5,18:10.0,9/30/2010,18:00.0,-76.290142,36.872913
497,ARGONNE AVENUE & KITCHENER AVENUE,Nicole (9/30/2010),Flooded street,12138594,3485613.25,18:50.0,9/30/2010,18:00.0,-76.25821,36.874395
498,6200 BLOCK OF GENEVA WAY,Nicole (9/30/2010),Flooded street,12146247.48,3492832.466,56:04.0,9/30/2010,56:00.0,-76.23146,36.893716
499,CHESAPEAKE BOULEVARD & FISHERMANS ROAD,Nicole (9/30/2010),Flooded street,12142328,3505821.875,57:12.0,9/30/2010,57:00.0,-76.243797,36.92964
500,2000 BLOCK OF E OCEAN VIEW AVENUE,Nicole (9/30/2010),Flooded street,12150035.28,3508507.551,57:33.0,9/30/2010,57:00.0,-76.217215,36.936506
501,6600 BLOCK OF AZALEA GARDEN ROAD,Nicole (9/30/2010),Flooded street,12152269.5,3496779.25,58:38.0,9/30/2010,58:00.0,-76.210546,36.904154
503,1000 BLOCK OF WARWICK AVENUE,Nicole (9/30/2010),Flooded street,12142252.99,3509873.308,59:42.0,9/30/2010,59:00.0,-76.243723,36.94077
504,700 BLOCK OF EUWANEE PLACE,Nicole (9/30/2010),Flooded street,12141550.61,3508980.966,00:01.0,9/30/2010,00:00.0,-76.246198,36.938366
505,100 BLOCK OF E WESTMONT AVENUE,Nicole (9/30/2010),Flooded street,12137377.81,3508262.558,00:41.0,9/30/2010,00:00.0,-76.26053,36.936666
506,E BAYVIEW BOULEVARD & STURGIS STREET,Nicole (9/30/2010),Flooded street,12144165,3507633.75,01:19.0,9/30/2010,01:00.0,-76.237366,36.934495
507,CHESAPEAKE BOULEVARD & MIDDLETON PLACE,Nicole (9/30/2010),Flooded street,12144023,3494418.25,01:57.0,9/30/2010,01:00.0,-76.238934,36.898217
508,6500 BLOCK OF CHESAPEAKE BOULEVARD,Nicole (9/30/2010),Flooded street,12143978.56,3494705.831,02:38.0,9/30/2010,02:00.0,-76.239063,36.899009
509,6200 BLOCK OF EDWARD STREET,Nicole (9/30/2010),Flooded street,12146437.2,3493026.313,02:55.0,9/30/2010,02:00.0,-76.230795,36.894236
510,2400 BLOCK OF SEWELLS POINT ROAD,Nicole (9/30/2010),Flooded street,12146166.5,3485154.25,03:14.0,9/30/2010,03:00.0,-76.232367,36.872638
511,ALDER STREET & DENVER AVENUE,Nicole (9/30/2010),Flooded street,12145214,3484334.5,03:58.0,9/30/2010,03:00.0,-76.23569,36.87045
512,TABB STREET & TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133846,3477648.75,05:44.0,9/30/2010,05:00.0,-76.27508,36.852835
514,1600 BLOCK OF MORRIS AVENUE,Nicole (9/30/2010),Flooded street,12136049.5,3487821.625,09:12.0,9/30/2010,09:00.0,-76.266728,36.880625
515,E OCEAN VIEW AVENUE & STURGIS STREET,Nicole (9/30/2010),Flooded street,12145469,3510573.25,36:11.0,9/30/2010,36:00.0,-76.232664,36.94248
516,401 MONTICELLO AVENUE,Nicole (9/30/2010),Flooded street,12129761,3476951.75,38:46.0,9/30/2010,38:00.0,-76.289093,36.851184
517,E 9TH STREET & MONTICELLO AVENUE,Nicole (9/30/2010),Flooded street,12130260,3479804.75,36:31.0,9/30/2010,36:00.0,-76.28716,36.858986
518,MARTONE ROAD & OLEO ROAD,Nicole (9/30/2010),Flooded street,12153592,3498817.25,43:20.0,9/30/2010,43:00.0,-76.205855,36.909662
520,900 BLOCK OF BOTETOURT GARDENS,Nicole (9/30/2010),Flooded street,12128495.29,3480676.826,52:23.0,9/30/2010,52:00.0,-76.29312,36.861494
521,810 UNION STREET,Nicole (9/30/2010),Flooded street,12130804.11,3474570.838,59:04.0,9/30/2010,59:00.0,-76.28572,36.844579
523,1600 BLOCK OF MADISON AVENUE,Nicole (9/30/2010),Flooded street,12136797.15,3477236.45,25:30.0,9/30/2010,25:00.0,-76.265029,36.851511
524,900 BLOCK OF MADISON AVENUE,Nicole (9/30/2010),Flooded street,12136606.15,3477056.581,30:31.0,9/30/2010,30:00.0,-76.265697,36.85103
525,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133519.87,3476716,31:08.0,9/30/2010,31:00.0,-76.276269,36.850294
526,CHURCH STREET & E BRAMBLETON AVENUE,Nicole (9/30/2010),Flooded street,12132320.5,3477748.375,31:42.0,9/30/2010,31:00.0,-76.280284,36.853207
527,CHAPEL STREET & E BRAMBLETON AVENUE,Nicole (9/30/2010),Flooded street,12132798,3477412,32:34.0,9/30/2010,32:00.0,-76.278679,36.852252
528,E BRAMBLETON AVENUE & ROSWELL AVENUE,Nicole (9/30/2010),Flooded street,12133142,3477128.25,32:49.0,9/30/2010,32:00.0,-76.277527,36.851451
529,E BRAMBLETON AVENUE & LANDING STREET,Nicole (9/30/2010),Flooded street,12132977,3477220,33:08.0,9/30/2010,33:00.0,-76.278083,36.851713
532,EVELYN T BUTTS AVENUE & AVENUE J,Nicole (9/30/2010),Flooded street,12142561,3499982.75,53:11.0,9/30/2010,53:00.0,-76.243478,36.913592
533,BERKLEY AVENUE EX & CAMPOSTELLA ROAD,Nicole (9/30/2010),Flooded street,12138296.5,3466698.625,58:15.0,9/30/2010,58:00.0,-76.260761,36.822478
536,800 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133837.92,3477624.013,09:37.0,9/30/2010,09:00.0,-76.275109,36.852767
537,700 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133666.64,3477092.15,10:03.0,9/30/2010,10:00.0,-76.275737,36.851318
538,GRANBY STREET & E WESTMONT AVENUE,Nicole (9/30/2010),Flooded street,12136759,3508511.75,10:20.0,9/30/2010,10:00.0,-76.262627,36.93739
539,400 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133196.72,3475469.486,11:53.0,9/30/2010,11:00.0,-76.277473,36.846893
540,500 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133280,3476043.875,12:16.0,9/30/2010,12:00.0,-76.277143,36.848464
541,600 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133408.55,3476228.116,13:08.0,9/30/2010,13:00.0,-76.276689,36.848962
542,JOHNSTONS ROAD & NORTH GATE DRIVE,Nicole (9/30/2010),Flooded street,12144305.5,3497907.75,24:36.0,9/30/2010,24:00.0,-76.237683,36.90778
543,1800 BLOCK OF E LITTLE CREEK ROAD,Nicole (9/30/2010),Flooded street,12148003.37,3500928.538,56:29.0,9/30/2010,56:00.0,-76.22479,36.91583
544,DEBREE AVENUE & W 29TH STREET,Nicole (9/30/2010),Flooded street,12130055,3485445.75,13:56.0,9/30/2010,13:00.0,-76.287408,36.874489
545,3900 BLOCK OF PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12156631.06,3505917.383,33:17.0,9/30/2010,33:00.0,-76.19487,36.928954
546,2700 BLOCK OF PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12152502,3506967.875,34:56.0,9/30/2010,34:00.0,-76.208905,36.932114
547,9500 BLOCK OF 15TH BAY STREET,Nicole (9/30/2010),Flooded street,12154950.58,3505802.356,37:17.0,9/30/2010,37:00.0,-76.200627,36.92875
548,19TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12156459.71,3505945.722,43:44.0,9/30/2010,43:00.0,-76.195454,36.929043
549,20TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12156802,3505886.75,44:43.0,9/30/2010,44:00.0,-76.194288,36.928858
550,7TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12152337,3507016.5,45:27.0,9/30/2010,45:00.0,-76.209465,36.932259
551,8TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12152667,3506919.25,45:46.0,9/30/2010,45:00.0,-76.208345,36.93197
552,E LITTLE CREEK ROAD & FORT WORTH AVENUE,Nicole (9/30/2010),Flooded street,12136126,3501252.75,57:15.0,9/30/2010,57:00.0,-76.26538,36.9175
555,COLONIAL AVENUE & W PRINCESS ANNE ROAD,Nicole (9/30/2010),Flooded street,12128169,3481427,34:46.0,9/30/2010,34:00.0,-76.294175,36.863575
556,BLOW STREET & W PRINCESS ANNE ROAD,Nicole (9/30/2010),Flooded street,12127791,3481627.75,35:38.0,9/30/2010,35:00.0,-76.295451,36.86415
557,E VIRGINIA BEACH BOULEVARD & MAY AVENUE,Nicole (9/30/2010),Flooded street,12134812.5,3477979.875,38:04.0,9/30/2010,38:00.0,-76.271751,36.853681
558,CECELIA STREET & E OLNEY ROAD,Nicole (9/30/2010),Flooded street,12134482,3476758,39:30.0,9/30/2010,39:00.0,-76.272978,36.850348
559,E OLNEY ROAD & MALTBY CRESCENT,Nicole (9/30/2010),Flooded street,12135043,3476399.25,44:52.0,9/30/2010,44:00.0,-76.27109,36.849326
560,GRANBY STREET & W PRINCESS ANNE ROAD,Nicole (9/30/2010),Flooded street,12130003,3480502,03:35.0,9/30/2010,03:00.0,-76.287982,36.860917
561,E VIRGINIA BEACH BOULEVARD & PARK AVENUE,Nicole (9/30/2010),Flooded street,12136628.5,3477394.625,04:15.0,9/30/2010,04:00.0,-76.265593,36.851956
562,E BRAMBLETON AVENUE & PARK AVENUE,Nicole (9/30/2010),Flooded street,12135220,3475405.25,05:46.0,9/30/2010,05:00.0,-76.270566,36.846585
563,LAFAYETTE BOULEVARD & VERDUN AVENUE,Nicole (9/30/2010),Flooded street,12139281,3486128.5,35:07.0,9/30/2010,35:00.0,-76.25582,36.875765
564,LAFAYETTE BOULEVARD & LENS AVENUE,Nicole (9/30/2010),Flooded street,12139029,3486199.5,35:25.0,9/30/2010,35:00.0,-76.256676,36.875977
565,BIRCH STREET & ROBIN HOOD ROAD,Nicole (9/30/2010),Flooded street,12144125,3486228,48:23.0,9/30/2010,48:00.0,-76.239256,36.875721
566,5900 BLOCK OF POPLAR HALL DRIVE,Nicole (9/30/2010),Flooded street,12155629.36,3477196.382,50:58.0,9/30/2010,50:00.0,-76.200689,36.850159
567,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12134008,3478239.25,55:34.0,10/1/2010,55:00.0,-76.274478,36.854445
568,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133519.87,3476716,56:31.0,10/1/2010,56:00.0,-76.276269,36.850294
569,600 BLOCK OF RESERVOIR AVENUE,Nicole (9/30/2010),Flooded street,12134524.26,3475557.252,57:20.0,10/1/2010,57:00.0,-76.272931,36.847048
570,9500 BLOCK OF 10TH BAY STREET,Nicole (9/30/2010),Flooded street,12153209.24,3506322.131,08:58.0,10/1/2010,08:00.0,-76.20654,36.930294
571,21ST BAY STREET & PRETTY LAKE AVENUE,Nicole (9/30/2010),Flooded street,12157015,3504950.25,09:35.0,10/1/2010,09:00.0,-76.193638,36.926272
572,16TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12155386,3506142.75,10:08.0,10/1/2010,10:00.0,-76.19911,36.929656
573,19TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12156459.71,3505945.722,10:44.0,10/1/2010,10:00.0,-76.195454,36.929043
574,8500 BLOCK OF GRANBY STREET,Nicole (9/30/2010),Flooded street,12135913.39,3506489.191,33:53.0,10/1/2010,33:00.0,-76.265683,36.931892
575,1224 HANSON AVENUE,Nicole (9/30/2010),Flooded street,12135687.45,3478800.231,07:20.0,10/1/2010,07:00.0,-76.268695,36.855877
577,2500 BLOCK OF WOOLSEY STREET,Nicole (9/30/2010),Flooded street,12147849.96,3486786.13,18:43.0,10/1/2010,18:00.0,-76.226479,36.877008
578,19TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12156459.71,3505945.722,50:37.0,10/4/2010,50:00.0,-76.195454,36.929043
579,2200 BLOCK OF KIMBALL TERRACE,Nicole (9/30/2010),Flooded street,12137367.5,3474206.499,24:00.0,10/4/2010,24:00.0,-76.263326,36.843154
650,CROMWELL ROAD & LAFAYETTE BOULEVARD,Snow (12/16/2010),Flooded street,12140399.5,3485818.25,32:35.0,12/16/2010,32:00.0,-76.252023,36.87484
651,1122 AZALEA GARDEN ROAD,Snow (12/16/2010),Flooded street,12146329,3479896,01:38.0,12/16/2010,01:00.0,-76.232244,36.858189
923,2205 MCKANN AVENUE,Irene (8/27/2011),Flooded street,12139946.48,3480706.264,53:09.0,8/24/2011,53:09.0,-76.253987,36.860833
926,E 21ST STREET & MONTICELLO AVENUE,Irene (8/27/2011),Flooded street,12131101.5,3482796.5,08:00.0,8/27/2011,08:00.0,-76.284044,36.867147
928,E 22ND STREET & MONTICELLO AVENUE,Irene (8/27/2011),Flooded street,12131168,3483071.125,27:17.0,8/27/2011,27:17.0,-76.283795,36.867897
929,MONTICELLO AVENUE & E 23RD STREET,Irene (8/27/2011),Flooded street,12131252.5,3483357.375,32:02.0,8/27/2011,32:02.0,-76.283483,36.868677
930,MONTICELLO AVENUE & E 24TH STREET,Irene (8/27/2011),Flooded street,12131346,3483590.75,35:50.0,8/27/2011,35:50.0,-76.283145,36.869312
931,MONTICELLO AVENUE & E 25TH STREET,Irene (8/27/2011),Flooded street,12131445.5,3483839.25,36:45.0,8/27/2011,36:45.0,-76.282785,36.869988
933,900 BLOCK OF BAGNALL ROAD,Irene (8/27/2011),Flooded street,12133471.3,3478200.465,48:08.0,8/27/2011,48:08.0,-76.276315,36.854374
941,BOUSH STREET & W OLNEY ROAD,Irene (8/27/2011),Flooded street,12129207,3478802.5,32:00.0,8/27/2011,32:00.0,-76.290838,36.856302
942,W OLNEY ROAD & W VIRGINIA BEACH BOULEVARD,Irene (8/27/2011),Flooded street,12128851.37,3478992.195,34:34.0,8/27/2011,34:34.0,-76.292038,36.856846
943,1600 BLOCK OF MELON STREET,Irene (8/27/2011),Flooded street,12137300.83,3467933.591,50:31.0,8/27/2011,50:31.0,-76.264061,36.825934
945,GRACE STREET & YARMOUTH STREET,Irene (8/27/2011),Flooded street,12128377,3478506.5,27:23.0,8/27/2011,27:23.0,-76.293698,36.855542
948,DELAWARE AVENUE & LLEWELLYN AVENUE,Irene (8/27/2011),Flooded street,12131024,3488692.25,37:07.0,8/27/2011,37:07.0,-76.283836,36.883341
949,4600 BLOCK OF MAYFLOWER ROAD,Irene (8/27/2011),Flooded street,12128664,3489871.5,38:10.0,8/27/2011,38:10.0,-76.291808,36.886731
951,400 BLOCK OF TIDEWATER DRIVE,Irene (8/27/2011),Flooded street,12133196.72,3475469.486,46:02.0,8/27/2011,46:02.0,-76.277473,36.846893
952,DUKE STREET & W VIRGINIA BEACH BOULEVARD,Irene (8/27/2011),Flooded street,12128851.37,3478992.195,54:51.0,8/27/2011,54:51.0,-76.292038,36.856846
953,BOUSH STREET & W VIRGINIA BEACH BOULEVARD,Irene (8/27/2011),Flooded street,12129168.68,3479134.051,56:52.0,8/27/2011,56:52.0,-76.290942,36.857215
954,7TH BAY STREET & PRETTY LAKE AVENUE,Irene (8/27/2011),Flooded street,12152210,3506590.75,04:13.0,8/27/2011,04:13.0,-76.209935,36.931098
956,3RD BAY STREET & PRETTY LAKE AVENUE,Irene (8/27/2011),Flooded street,12150953,3507309.75,07:19.0,8/27/2011,07:19.0,-76.214175,36.933156
958,300 BLOCK OF E LITTLE CREEK ROAD,Irene (8/27/2011),Flooded street,12136613.53,3501468.001,08:27.0,8/27/2011,08:27.0,-76.263695,36.918059
989,I-264W HIGHWAY & BALLENTINE BOULEVARD,Irene (8/27/2011),Flooded street,12140462,3475246.583,13:32.0,8/27/2011,13:32.0,-76.25267,36.845808
990,TIDEWATER DRIVE & WILLOW WOOD DRIVE,Irene (8/27/2011),Flooded street,12137966,3490216.25,14:24.0,8/27/2011,14:24.0,-76.259983,36.887075
995,E VIRGINIA BEACH BOULEVARD & PARK AVENUE,Irene (8/27/2011),Flooded street,12136628.5,3477394.625,22:29.0,8/27/2011,22:29.0,-76.265593,36.851956
996,E BRAMBLETON AVENUE & I-264W HIGHWAY,Irene (8/27/2011),Flooded street,12135922.5,3474922.625,23:47.0,8/27/2011,23:47.0,-76.268205,36.845214
998,SCOTT STREET & TRANT AVENUE,Irene (8/27/2011),Flooded street,12143819,3477008,26:30.0,8/27/2011,26:30.0,-76.241056,36.850425
1000,1100 BLOCK OF MARINER STREET,Irene (8/27/2011),Flooded street,12132596.65,3475533.78,27:34.0,8/27/2011,27:34.0,-76.279518,36.847108
1009,CHESAPEAKE BOULEVARD & FISHERMANS ROAD,Irene (8/27/2011),Flooded street,12142328,3505821.875,00:46.0,8/27/2011,00:46.0,-76.243797,36.92964
1011,CAMPOSTELLA ROAD & E BRAMBLETON AVENUE,Irene (8/27/2011),Flooded street,12136382,3474442.625,06:45.0,8/27/2011,06:45.0,-76.266674,36.843867
1015,E PRINCESS ANNE ROAD & SALTER STREET,Irene (8/27/2011),Flooded street,12131160,3480179,21:44.0,8/27/2011,21:44.0,-76.284054,36.859956
1016,E PRINCESS ANNE ROAD & MONTICELLO AVENUE,Irene (8/27/2011),Flooded street,12130363,3480389.25,22:20.0,8/27/2011,22:20.0,-76.286761,36.860584
1022,GOFF STREET & OKEEFE STREET,Irene (8/27/2011),Flooded street,12133618,3480045.75,57:17.0,8/27/2011,57:17.0,-76.275666,36.859431
1023,B AVENUE & SUTTON STREET,Irene (8/27/2011),Flooded street,12133942,3482028.5,58:13.0,8/27/2011,58:13.0,-76.274399,36.864854
1024,6345 EDWARD STREET,Irene (8/27/2011),Flooded street,12146087,3493950,00:07.0,8/27/2011,00:07.0,-76.231917,36.896795
1031,MORTON AVENUE & W 25TH STREET,Irene (8/27/2011),Flooded street,12127146,3485280.5,46:37.0,8/27/2011,46:37.0,-76.297364,36.874222
1032,1200 BLOCK OF GOFF STREET,Irene (8/27/2011),Flooded street,12135796,3479238,49:46.0,8/27/2011,49:46.0,-76.268288,36.857072
1035,17TH STREET & MONTICELLO AVENUE,Irene (8/27/2011),Flooded street,12130770,3481728.75,17:44.0,8/27/2011,17:44.0,-76.285263,36.864236
1043,300 BLOCK OF S NEWTOWN ROAD,Irene (8/27/2011),Flooded street,12157571.56,3471364.782,57:20.0,8/27/2011,57:20.0,-76.19454,36.834016
1045,6100 BLOCK OF SEWELLS POINT ROAD,Irene (8/27/2011),Flooded street,12144177.24,3491693.967,02:15.0,8/27/2011,02:15.0,-76.23863,36.890726
1049,1400 BLOCK OF KEMPSVILLE ROAD,Irene (8/27/2011),Flooded street,12153775.17,3485372.241,08:46.0,8/27/2011,08:46.0,-76.206345,36.872732
1051,1200 BLOCK OF STRAND STREET,Irene (8/27/2011),Flooded street,12144914.67,3492973.454,30:58.0,8/27/2011,30:58.0,-76.236005,36.894191
1054,9500 BLOCK OF 5TH BAY STREET,Irene (8/27/2011),Flooded street,12151533.82,3506733.763,34:11.0,8/27/2011,34:11.0,-76.212236,36.931536
1055,6200 BLOCK OF SEWELLS POINT ROAD,Irene (8/27/2011),Flooded street,12144081.63,3492432.09,59:45.0,8/27/2011,59:45.0,-76.238897,36.892759
1056,4200 BLOCK OF GRANBY STREET,Irene (8/27/2011),Flooded street,12132077.28,3490389.9,18:01.0,8/27/2011,18:01.0,-76.280099,36.887934
1062,GRANBY STREET & LLEWELLYN AVENUE,Irene (8/27/2011),Flooded street,12131873,3490069.75,57:32.0,8/27/2011,57:32.0,-76.280823,36.887068
1070,DELAWARE AVENUE & MAYFLOWER ROAD,Irene (8/27/2011),Flooded street,12129580,3489050.375,00:26.0,8/27/2011,00:26.0,-76.288743,36.884417
1083,I-264E HIGHWAY & TIDEWATER DRIVE,Irene (8/27/2011),Flooded street,12131872.5,3474347.5,00:03.0,8/27/2011,00:03.0,-76.282088,36.843897
1086,E OCEAN VIEW AVENUE & SHORE DRIVE,Irene (8/27/2011),Flooded street,12157230,3506389.375,28:25.0,8/27/2011,28:25.0,-76.192782,36.93021
1088,38TH STREET & POWHATAN AVENUE,Irene (8/27/2011),Flooded street,12122729,3487030.25,52:46.0,8/27/2011,52:46.0,-76.312322,36.879308
1089,43RD STREET & POWHATAN AVENUE,Irene (8/27/2011),Flooded street,12122639.9,3488374.114,53:16.0,8/27/2011,53:16.0,-76.31252,36.883004
1091,7200 BLOCK OF HAMPTON BOULEVARD,Irene (8/27/2011),Flooded street,12124444.14,3498104.465,06:23.0,8/27/2011,06:23.0,-76.305579,36.909607
1092,4TH VIEW STREET & W OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12137042,3516670,45:47.0,8/27/2011,45:47.0,-76.260997,36.959773
1093,NORVIEW AVENUE & TIDEWATER DRIVE,Irene (8/27/2011),Flooded street,12138501,3492019.75,46:12.0,8/27/2011,46:12.0,-76.258008,36.891993
1094,5TH VIEW STREET & W OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12136351.5,3517178.875,46:25.0,8/27/2011,46:25.0,-76.263318,36.961215
1095,15TH VIEW STREET & W OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12127444.5,3519104.25,46:51.0,8/27/2011,46:51.0,-76.293641,36.967078
1096,6TH VIEW STREET & W OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12135581.5,3517763.75,47:24.0,8/27/2011,47:24.0,-76.265905,36.962871
1097,1200 BLOCK OF LAFAYETTE BOULEVARD,Irene (8/27/2011),Flooded street,12134510.14,3485243.699,47:41.0,8/27/2011,47:41.0,-76.272198,36.873646
1098,HAMPTON BOULEVARD & LEXAN AVENUE,Irene (8/27/2011),Flooded street,12125169,3494786.25,48:02.0,8/27/2011,48:02.0,-76.303365,36.90045
1099,13TH VIEW STREET & W OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12129064.5,3519157.25,49:36.0,8/27/2011,49:36.0,-76.288093,36.967119
1100,14TH VIEW STREET & W OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12128254.5,3519131.875,50:29.0,8/27/2011,50:29.0,-76.290867,36.967102
1101,12TH VIEW STREET & W OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12130124,3519190.5,50:50.0,8/27/2011,50:50.0,-76.284465,36.967142
1102,8TH VIEW STREET & W OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12133699,3518574,52:00.0,8/27/2011,52:00.0,-76.272281,36.965218
1103,10TH VIEW STREET & W OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12132003,3519123.125,52:23.0,8/27/2011,52:23.0,-76.278041,36.966836
1106,49TH STREET & HAMPTON BOULEVARD,Irene (8/27/2011),Flooded street,12125487.5,3490162.125,14:45.0,8/27/2011,14:45.0,-76.302644,36.887732
